ISO3,Country,Degree centrality,Weighted betweenness,In-degree,Out-degree
URY,Uruguay,0.2882882882882883,0.0,7,57
NOR,Norway,0.27927927927927926,0.0,42,20
SVN,Slovenia,0.2747747747747748,0.0,33,28
MMR,Myanmar,0.2747747747747748,2.0382373323549794e-05,5,56
SVK,Slovakia,0.26576576576576577,0.02050466756349109,39,20
HUN,Hungary,0.26126126126126126,0.029391382332558804,33,25
RUS,Russian Federation,0.26126126126126126,0.025090701561289796,23,35
LUX,Luxembourg,0.25675675675675674,0.004443357384533855,47,10
FIN,Finland,0.24774774774774774,0.0,36,19
BHR,Bahrain,0.22972972972972971,0.004443357384533855,36,15
NZL,New Zealand,0.22972972972972971,0.010659981248216542,31,20
LTU,Lithuania,0.22522522522522523,0.007765684236272471,26,24
ARG,Argentina,0.22072072072072071,0.0,11,38
TZA,Tanzania,0.21621621621621623,0.053605641840935955,15,33
LVA,Latvia,0.21171171171171171,2.0382373323549794e-05,31,16
EST,Estonia,0.2072072072072072,0.0,37,9
CYP,Cyprus,0.20270270270270271,0.0,38,7
JOR,Jordan,0.20270270270270271,0.019954343483755247,30,15
HKG,"China, Hong Kong SAR",0.19369369369369369,0.007215360156536627,27,16
OMN,Oman,0.19369369369369369,0.00888671476906771,25,18
IDN,Indonesia,0.19369369369369369,0.0045656516244751534,11,32
GUY,Guyana,0.19369369369369369,0.0031796502384737677,9,34
MDV,Maldives,0.18468468468468469,0.0,40,1
ISR,Israel,0.18468468468468469,0.0,30,11
BGD,Bangladesh,0.18468468468468469,0.0033834739717092657,8,33
PHL,Philippines,0.18018018018018017,0.0,21,19
EGY,Egypt,0.17567567567567569,0.0,16,23
KWT,Kuwait,0.17117117117117117,0.0,28,10
SAU,Saudi Arabia,0.17117117117117117,0.0,26,12
MYS,Malaysia,0.17117117117117117,0.00010191186661774896,21,17
KAZ,Kazakhstan,0.17117117117117117,0.018099547511312215,18,20
MDA,Moldova,0.16666666666666666,0.004422975011210305,31,6
HRV,Croatia,0.16666666666666666,0.0,26,11
SRB,Serbia,0.16666666666666666,0.004443357384533855,25,12
ISL,Iceland,0.16216216216216217,0.0,34,2
KEN,Kenya,0.16216216216216217,0.004422975011210305,20,16
PRY,Paraguay,0.16216216216216217,0.0,7,29
QAT,Qatar,0.15315315315315314,0.0,29,5
NGA,Nigeria,0.15315315315315314,0.0,20,14
MKD,North Macedonia,0.15315315315315314,0.0,14,20
PER,Peru,0.15315315315315314,0.008968244262361908,14,20
