ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
GNB,Guinea-Bissau,0.09292035398230089,0.08407079646017698,0.008849557522123894,3.18466148525272e-05,0.0043461160275319564,0.37472700000000003,86618.1682722
GNQ,Equatorial Guinea,0.09734513274336283,0.07964601769911504,0.017699115044247787,0.0001214869380193808,0.0,4147.81886,59591.953467
GRC,Greece,0.5132743362831859,0.2168141592920354,0.29646017699115046,0.002588002426845163,0.03236971484759096,184196.165879486,100434.3627397
HKG,"China, Hong Kong SAR",0.3938053097345133,0.18141592920353983,0.21238938053097345,0.0035086870458779307,0.012173058013765978,85960.935371,1361087.2249452
HRV,Croatia,0.27876106194690264,0.17256637168141592,0.10619469026548672,0.00043281060057281066,0.0,736.7375700278,64443.53505303
IRL,Ireland,0.4424778761061947,0.2920353982300885,0.1504424778761062,0.004518530657585446,0.0,6349.826865139999,159629.35361227
IRN,Iran,0.3008849557522124,0.05309734513274336,0.24778761061946902,0.00039038394630757126,0.079960668633235,15833.44276202,6138011.675183999
IRQ,Iraq,0.22123893805309736,0.1504424778761062,0.07079646017699115,0.0003028033815607626,0.0,621.646389,4310291.856215
ISR,Israel,0.3008849557522124,0.17699115044247787,0.12389380530973451,0.0003529799966384012,0.0,859.4838933999999,646717.3215393
ITA,Italy,1.0176991150442478,0.3008849557522124,0.7168141592920354,0.026599429552716342,0.2864896755162242,2943941.99626687,547001.97298272
JPN,Japan,0.6769911504424778,0.15486725663716813,0.5221238938053098,0.0064292800718538014,0.10289085545722713,270319.27876760997,2401990.906379
KEN,Kenya,0.3141592920353982,0.17699115044247787,0.13716814159292035,0.0020132504607961762,0.017266470009832842,971.4307376390001,1386953.9296074
KGZ,Kyrgyzstan,0.14601769911504425,0.09292035398230089,0.05309734513274336,0.0001833682414832772,0.0,1886.101917,15079.2228393
KOR,"Korea, Republic",0.7035398230088495,0.19911504424778761,0.504424778761062,0.015912306851821188,0.013569321533923304,141517.777286694,240953.66308461
KWT,Kuwait,0.3495575221238938,0.20353982300884954,0.14601769911504425,0.0022322013828248504,0.0,1494.11318,1211665.95737388
